Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-26T07:22:58Z,37.696,45.031,"0
",-254.967,18.033
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-26T13:34:13Z,37.666,45.154,"A
",-255.006,17.994
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-26T18:44:03Z,37.376,45.212,"A
",-255.37,17.63
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-27T02:42:11Z,37.115,45.288,"0
",-255.316,17.684
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-27T18:45:56Z,36.542,45.474,"B
",-255.595,17.405
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-27T20:08:54Z,36.701,45.494,"0
",-255.727,17.273
Northern Elephant Seal,2014,1,2014012,133774,0,2014-02-28T15:48:45Z,35.869,45.536,"2
",-256.248,16.752
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T01:58:35Z,35.521,45.56,"B
",-256.593,16.407
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T05:23:54Z,35.532,45.578,"A
",-256.575,16.425
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T06:27:11Z,35.414,45.565,"B
",-256.462,16.538
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T07:08:26Z,35.375,45.597,"2
",-256.453,16.547
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T14:13:07Z,35.139,45.623,"A
",-256.142,16.858
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T19:56:43Z,34.992,45.651,"A
",-256.447,16.553
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-01T21:37:58Z,34.948,45.691,"A
",-256.589,16.411
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-02T22:18:45Z,34.438,45.781,"B
",-256.044,16.956
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-03T01:11:43Z,34.303,45.755,"A
",-255.708,17.292
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-03T02:45:56Z,34.311,45.756,"1
",-255.708,17.292
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-03T08:12:11Z,34.213,45.737,"B
",-255.708,17.292
Northern Elephant Seal,2014,1,2014012,133774,0,2014-03-03T19:30:28Z,34.218,45.77,"A
",-255.708,17.292
